run_id,fid,iid,rep
11_1_18,11,1,18
11_1_19,11,1,19
11_1_2,11,1,2
11_1_3,11,1,3
11_1_4,11,1,4
11_1_5,11,1,5
11_1_6,11,1,6
11_1_7,11,1,7
11_1_8,11,1,8
11_1_9,11,1,9
11_2_0,11,2,0
11_2_1,11,2,1
11_2_10,11,2,10
11_2_11,11,2,11
11_2_12,11,2,12
11_2_13,11,2,13
11_2_14,11,2,14
11_2_15,11,2,15
11_2_16,11,2,16
11_2_17,11,2,17
11_2_18,11,2,18
11_2_19,11,2,19
11_2_2,11,2,2
11_2_3,11,2,3
11_2_4,11,2,4
11_2_5,11,2,5
11_2_6,11,2,6
11_2_7,11,2,7
11_2_8,11,2,8
11_2_9,11,2,9
11_3_0,11,3,0
11_3_1,11,3,1
11_3_10,11,3,10
11_3_11,11,3,11
11_3_12,11,3,12
11_3_13,11,3,13
11_3_14,11,3,14
11_3_15,11,3,15
11_3_16,11,3,16
11_3_17,11,3,17
11_3_18,11,3,18
11_3_19,11,3,19
11_3_2,11,3,2
11_3_3,11,3,3
11_3_4,11,3,4
11_3_5,11,3,5
11_3_6,11,3,6
11_3_7,11,3,7
11_3_8,11,3,8
11_3_9,11,3,9
11_4_0,11,4,0
11_4_1,11,4,1
11_4_10,11,4,10
11_4_11,11,4,11
11_4_12,11,4,12
11_4_13,11,4,13
11_4_14,11,4,14
11_4_15,11,4,15
11_4_16,11,4,16
11_4_17,11,4,17
11_4_18,11,4,18
11_4_19,11,4,19
11_4_2,11,4,2
11_4_3,11,4,3
11_4_4,11,4,4
11_4_5,11,4,5
11_4_6,11,4,6
11_4_7,11,4,7
11_4_8,11,4,8
11_4_9,11,4,9
11_5_0,11,5,0
11_5_1,11,5,1
11_5_10,11,5,10
11_5_11,11,5,11
11_5_12,11,5,12
11_5_13,11,5,13
11_5_14,11,5,14
11_5_15,11,5,15
11_5_16,11,5,16
11_5_17,11,5,17
11_5_18,11,5,18
11_5_19,11,5,19
11_5_2,11,5,2
11_5_3,11,5,3
11_5_4,11,5,4
11_5_5,11,5,5
11_5_6,11,5,6
11_5_7,11,5,7
11_5_8,11,5,8
11_5_9,11,5,9
11_6_0,11,6,0
11_6_1,11,6,1
11_6_10,11,6,10
11_6_11,11,6,11
11_6_12,11,6,12
11_6_13,11,6,13
11_6_14,11,6,14
11_6_15,11,6,15
11_6_16,11,6,16
11_6_17,11,6,17
11_6_18,11,6,18
11_6_19,11,6,19
11_6_2,11,6,2
11_6_3,11,6,3
11_6_4,11,6,4
11_6_5,11,6,5
11_6_6,11,6,6
11_6_7,11,6,7
11_6_8,11,6,8
11_6_9,11,6,9
11_7_0,11,7,0
11_7_1,11,7,1
11_7_10,11,7,10
11_7_11,11,7,11
11_7_12,11,7,12
11_7_13,11,7,13
11_7_14,11,7,14
11_7_15,11,7,15
11_7_16,11,7,16
11_7_17,11,7,17
11_7_18,11,7,18
11_7_19,11,7,19
11_7_2,11,7,2
11_7_3,11,7,3
11_7_4,11,7,4
11_7_5,11,7,5
11_7_6,11,7,6
11_7_7,11,7,7
11_7_8,11,7,8
11_7_9,11,7,9
12_1_0,12,1,0
12_1_1,12,1,1
12_1_10,12,1,10
12_1_11,12,1,11
12_1_12,12,1,12
12_1_13,12,1,13
12_1_14,12,1,14
12_1_15,12,1,15
12_1_16,12,1,16
12_1_17,12,1,17
12_1_18,12,1,18
12_1_19,12,1,19
12_1_2,12,1,2
12_1_3,12,1,3
12_1_4,12,1,4
12_1_5,12,1,5
12_1_6,12,1,6
12_1_7,12,1,7
12_1_8,12,1,8
12_1_9,12,1,9
12_2_0,12,2,0
12_2_1,12,2,1
12_2_10,12,2,10
12_2_11,12,2,11
12_2_12,12,2,12
12_2_13,12,2,13
12_2_14,12,2,14
12_2_15,12,2,15
12_2_16,12,2,16
12_2_17,12,2,17
12_2_18,12,2,18
12_2_19,12,2,19
12_2_2,12,2,2
12_2_3,12,2,3
12_2_4,12,2,4
12_2_5,12,2,5
12_2_6,12,2,6
12_2_7,12,2,7
12_2_8,12,2,8
12_2_9,12,2,9
12_3_0,12,3,0
12_3_1,12,3,1
12_3_10,12,3,10
12_3_11,12,3,11
12_3_12,12,3,12
12_3_13,12,3,13
12_3_14,12,3,14
12_3_15,12,3,15
12_3_16,12,3,16
12_3_17,12,3,17
12_3_18,12,3,18
12_3_19,12,3,19
12_3_2,12,3,2
12_3_3,12,3,3
12_3_4,12,3,4
12_3_5,12,3,5
12_3_6,12,3,6
12_3_7,12,3,7
12_3_8,12,3,8
12_3_9,12,3,9
12_4_0,12,4,0
12_4_1,12,4,1
12_4_10,12,4,10
12_4_11,12,4,11
12_4_12,12,4,12
12_4_13,12,4,13
12_4_14,12,4,14
12_4_15,12,4,15
12_4_16,12,4,16
12_4_17,12,4,17
12_4_18,12,4,18
12_4_19,12,4,19
12_4_2,12,4,2
12_4_3,12,4,3
12_4_4,12,4,4
12_4_5,12,4,5
12_4_6,12,4,6
12_4_7,12,4,7
12_4_8,12,4,8
12_4_9,12,4,9
12_5_0,12,5,0
12_5_1,12,5,1
12_5_10,12,5,10
12_5_11,12,5,11
12_5_12,12,5,12
12_5_13,12,5,13
12_5_14,12,5,14
12_5_15,12,5,15
12_5_16,12,5,16
12_5_17,12,5,17
12_5_18,12,5,18
12_5_19,12,5,19
12_5_2,12,5,2
12_5_3,12,5,3
12_5_4,12,5,4
12_5_5,12,5,5
12_5_6,12,5,6
12_5_7,12,5,7
12_5_8,12,5,8
12_5_9,12,5,9
12_6_0,12,6,0
12_6_1,12,6,1
12_6_10,12,6,10
12_6_11,12,6,11
12_6_12,12,6,12
12_6_13,12,6,13
12_6_14,12,6,14
12_6_15,12,6,15
12_6_16,12,6,16
12_6_17,12,6,17
12_6_18,12,6,18
12_6_19,12,6,19
12_6_2,12,6,2
12_6_3,12,6,3
12_6_4,12,6,4
12_6_5,12,6,5
12_6_6,12,6,6
12_6_7,12,6,7
12_6_8,12,6,8
12_6_9,12,6,9
12_7_0,12,7,0
12_7_1,12,7,1
12_7_10,12,7,10
12_7_11,12,7,11
12_7_12,12,7,12
12_7_13,12,7,13
12_7_14,12,7,14
12_7_15,12,7,15
12_7_16,12,7,16
12_7_17,12,7,17
12_7_18,12,7,18
12_7_19,12,7,19
12_7_2,12,7,2
12_7_3,12,7,3
12_7_4,12,7,4
12_7_5,12,7,5
12_7_6,12,7,6
12_7_7,12,7,7
12_7_8,12,7,8
12_7_9,12,7,9
13_1_0,13,1,0
13_1_1,13,1,1
13_1_10,13,1,10
13_1_11,13,1,11
13_1_12,13,1,12
13_1_13,13,1,13
13_1_14,13,1,14
13_1_15,13,1,15
13_1_16,13,1,16
13_1_17,13,1,17
13_1_18,13,1,18
13_1_19,13,1,19
13_1_2,13,1,2
13_1_3,13,1,3
13_1_4,13,1,4
13_1_5,13,1,5
13_1_6,13,1,6
13_1_7,13,1,7
13_1_8,13,1,8
13_1_9,13,1,9
13_2_0,13,2,0
13_2_1,13,2,1
13_2_10,13,2,10
13_2_11,13,2,11
13_2_12,13,2,12
13_2_13,13,2,13
13_2_14,13,2,14
13_2_15,13,2,15
13_2_16,13,2,16
13_2_17,13,2,17
13_2_18,13,2,18
13_2_19,13,2,19
13_2_2,13,2,2
13_2_3,13,2,3
13_2_4,13,2,4
13_2_5,13,2,5
13_2_6,13,2,6
13_2_7,13,2,7
13_2_8,13,2,8
13_2_9,13,2,9
13_3_0,13,3,0
13_3_1,13,3,1
13_3_10,13,3,10
13_3_11,13,3,11
13_3_12,13,3,12
13_3_13,13,3,13
13_3_14,13,3,14
13_3_15,13,3,15
13_3_16,13,3,16
13_3_17,13,3,17
13_3_18,13,3,18
13_3_19,13,3,19
13_3_2,13,3,2
13_3_3,13,3,3
13_3_4,13,3,4
13_3_5,13,3,5
13_3_6,13,3,6
13_3_7,13,3,7
13_3_8,13,3,8
13_3_9,13,3,9
13_4_0,13,4,0
13_4_1,13,4,1
13_4_10,13,4,10
13_4_11,13,4,11
13_4_12,13,4,12
13_4_13,13,4,13
13_4_14,13,4,14
13_4_15,13,4,15
13_4_16,13,4,16
13_4_17,13,4,17
13_4_18,13,4,18
13_4_19,13,4,19
13_4_2,13,4,2
13_4_3,13,4,3
13_4_4,13,4,4
13_4_5,13,4,5
13_4_6,13,4,6
13_4_7,13,4,7
13_4_8,13,4,8
13_4_9,13,4,9
13_5_0,13,5,0
13_5_1,13,5,1
13_5_10,13,5,10
13_5_11,13,5,11
13_5_12,13,5,12
13_5_13,13,5,13
13_5_14,13,5,14
13_5_15,13,5,15
13_5_16,13,5,16
13_5_17,13,5,17
13_5_18,13,5,18
13_5_19,13,5,19
13_5_2,13,5,2
13_5_3,13,5,3
13_5_4,13,5,4
13_5_5,13,5,5
13_5_6,13,5,6
13_5_7,13,5,7
13_5_8,13,5,8
13_5_9,13,5,9
13_6_0,13,6,0
13_6_1,13,6,1
13_6_10,13,6,10
13_6_11,13,6,11
13_6_12,13,6,12
13_6_13,13,6,13
13_6_14,13,6,14
13_6_15,13,6,15
13_6_16,13,6,16
13_6_17,13,6,17
13_6_18,13,6,18
13_6_19,13,6,19
13_6_2,13,6,2
13_6_3,13,6,3
13_6_4,13,6,4
13_6_5,13,6,5
13_6_6,13,6,6
13_6_7,13,6,7
13_6_8,13,6,8
13_6_9,13,6,9
13_7_0,13,7,0
13_7_1,13,7,1
13_7_10,13,7,10
13_7_11,13,7,11
13_7_12,13,7,12
13_7_13,13,7,13
13_7_14,13,7,14
13_7_15,13,7,15
13_7_16,13,7,16
13_7_17,13,7,17
13_7_18,13,7,18
13_7_19,13,7,19
13_7_2,13,7,2
13_7_3,13,7,3
13_7_4,13,7,4
13_7_5,13,7,5
13_7_6,13,7,6
13_7_7,13,7,7
13_7_8,13,7,8
13_7_9,13,7,9
14_1_0,14,1,0
14_1_1,14,1,1
14_1_10,14,1,10
14_1_11,14,1,11
14_1_12,14,1,12
14_1_13,14,1,13
14_1_14,14,1,14
14_1_15,14,1,15
14_1_16,14,1,16
14_1_17,14,1,17
14_1_18,14,1,18
14_1_19,14,1,19
14_1_2,14,1,2
14_1_3,14,1,3
14_1_4,14,1,4
14_1_5,14,1,5
14_1_6,14,1,6
14_1_7,14,1,7
14_1_8,14,1,8
14_1_9,14,1,9
14_2_0,14,2,0
14_2_1,14,2,1
14_2_10,14,2,10
14_2_11,14,2,11
14_2_12,14,2,12
14_2_13,14,2,13
14_2_14,14,2,14
14_2_15,14,2,15
14_2_16,14,2,16
14_2_17,14,2,17
14_2_18,14,2,18
14_2_19,14,2,19
14_2_2,14,2,2
14_2_3,14,2,3
14_2_4,14,2,4
14_2_5,14,2,5
14_2_6,14,2,6
14_2_7,14,2,7
14_2_8,14,2,8
14_2_9,14,2,9
14_3_0,14,3,0
14_3_1,14,3,1
14_3_10,14,3,10
14_3_11,14,3,11
14_3_12,14,3,12
14_3_13,14,3,13
14_3_14,14,3,14
14_3_15,14,3,15
14_3_16,14,3,16
14_3_17,14,3,17
14_3_18,14,3,18
14_3_19,14,3,19
14_3_2,14,3,2
14_3_3,14,3,3
14_3_4,14,3,4
14_3_5,14,3,5
14_3_6,14,3,6
14_3_7,14,3,7
14_3_8,14,3,8
14_3_9,14,3,9
14_4_0,14,4,0
14_4_1,14,4,1
14_4_10,14,4,10
14_4_11,14,4,11
14_4_12,14,4,12
14_4_13,14,4,13
14_4_14,14,4,14
14_4_15,14,4,15
14_4_16,14,4,16
14_4_17,14,4,17
14_4_18,14,4,18
14_4_19,14,4,19
14_4_2,14,4,2
14_4_3,14,4,3
14_4_4,14,4,4
14_4_5,14,4,5
14_4_6,14,4,6
14_4_7,14,4,7
14_4_8,14,4,8
14_4_9,14,4,9
14_5_0,14,5,0
14_5_1,14,5,1
14_5_10,14,5,10
14_5_11,14,5,11
14_5_12,14,5,12
14_5_13,14,5,13
14_5_14,14,5,14
14_5_15,14,5,15
14_5_16,14,5,16
14_5_17,14,5,17
14_5_18,14,5,18
14_5_19,14,5,19
14_5_2,14,5,2
14_5_3,14,5,3
14_5_4,14,5,4
14_5_5,14,5,5
14_5_6,14,5,6
14_5_7,14,5,7
14_5_8,14,5,8
14_5_9,14,5,9
14_6_0,14,6,0
14_6_1,14,6,1
14_6_10,14,6,10
14_6_11,14,6,11
14_6_12,14,6,12
14_6_13,14,6,13
14_6_14,14,6,14
14_6_15,14,6,15
14_6_16,14,6,16
14_6_17,14,6,17
14_6_18,14,6,18
14_6_19,14,6,19
14_6_2,14,6,2
14_6_3,14,6,3
14_6_4,14,6,4
14_6_5,14,6,5
14_6_6,14,6,6
14_6_7,14,6,7
14_6_8,14,6,8
14_6_9,14,6,9
14_7_0,14,7,0
14_7_1,14,7,1
14_7_10,14,7,10
14_7_11,14,7,11
14_7_12,14,7,12
14_7_13,14,7,13
14_7_14,14,7,14
14_7_15,14,7,15
14_7_16,14,7,16
14_7_17,14,7,17
14_7_18,14,7,18
14_7_19,14,7,19
14_7_2,14,7,2
14_7_3,14,7,3
14_7_4,14,7,4
14_7_5,14,7,5
14_7_6,14,7,6
14_7_7,14,7,7
14_7_8,14,7,8
14_7_9,14,7,9
15_1_0,15,1,0
15_1_1,15,1,1
15_1_10,15,1,10
15_1_11,15,1,11
15_1_12,15,1,12
15_1_13,15,1,13
15_1_14,15,1,14
15_1_15,15,1,15
15_1_16,15,1,16
15_1_17,15,1,17
15_1_18,15,1,18
15_1_19,15,1,19
15_1_2,15,1,2
15_1_3,15,1,3
15_1_4,15,1,4
15_1_5,15,1,5
15_1_6,15,1,6
15_1_7,15,1,7
15_1_8,15,1,8
15_1_9,15,1,9
15_2_0,15,2,0
15_2_1,15,2,1
15_2_10,15,2,10
15_2_11,15,2,11
15_2_12,15,2,12
15_2_13,15,2,13
15_2_14,15,2,14
15_2_15,15,2,15
15_2_16,15,2,16
15_2_17,15,2,17
15_2_18,15,2,18
15_2_19,15,2,19
15_2_2,15,2,2
15_2_3,15,2,3
15_2_4,15,2,4
15_2_5,15,2,5
15_2_6,15,2,6
15_2_7,15,2,7
15_2_8,15,2,8
15_2_9,15,2,9
15_3_0,15,3,0
15_3_1,15,3,1
15_3_10,15,3,10
15_3_11,15,3,11
15_3_12,15,3,12
15_3_13,15,3,13
15_3_14,15,3,14
15_3_15,15,3,15
15_3_16,15,3,16
15_3_17,15,3,17
15_3_18,15,3,18
15_3_19,15,3,19
15_3_2,15,3,2
15_3_3,15,3,3
15_3_4,15,3,4
15_3_5,15,3,5
15_3_6,15,3,6
15_3_7,15,3,7
15_3_8,15,3,8
15_3_9,15,3,9
15_4_0,15,4,0
15_4_1,15,4,1
15_4_10,15,4,10
15_4_11,15,4,11
15_4_12,15,4,12
15_4_13,15,4,13
15_4_14,15,4,14
15_4_15,15,4,15
15_4_16,15,4,16
15_4_17,15,4,17
15_4_18,15,4,18
15_4_19,15,4,19
15_4_2,15,4,2
15_4_3,15,4,3
15_4_4,15,4,4
15_4_5,15,4,5
15_4_6,15,4,6
15_4_7,15,4,7
15_4_8,15,4,8
15_4_9,15,4,9
15_5_0,15,5,0
15_5_1,15,5,1
15_5_10,15,5,10
15_5_11,15,5,11
15_5_12,15,5,12
15_5_13,15,5,13
15_5_14,15,5,14
15_5_15,15,5,15
15_5_16,15,5,16
15_5_17,15,5,17
15_5_18,15,5,18
15_5_19,15,5,19
15_5_2,15,5,2
15_5_3,15,5,3
15_5_4,15,5,4
15_5_5,15,5,5
15_5_6,15,5,6
15_5_7,15,5,7
15_5_8,15,5,8
15_5_9,15,5,9
15_6_0,15,6,0
15_6_1,15,6,1
15_6_10,15,6,10
15_6_11,15,6,11
15_6_12,15,6,12
15_6_13,15,6,13
15_6_14,15,6,14
15_6_15,15,6,15
15_6_16,15,6,16
15_6_17,15,6,17
15_6_18,15,6,18
15_6_19,15,6,19
15_6_2,15,6,2
15_6_3,15,6,3
15_6_4,15,6,4
15_6_5,15,6,5
15_6_6,15,6,6
15_6_7,15,6,7
15_6_8,15,6,8
15_6_9,15,6,9
15_7_0,15,7,0
15_7_1,15,7,1
15_7_10,15,7,10
15_7_11,15,7,11
15_7_12,15,7,12
15_7_13,15,7,13
15_7_14,15,7,14
15_7_15,15,7,15
15_7_16,15,7,16
15_7_17,15,7,17
15_7_18,15,7,18
15_7_19,15,7,19
15_7_2,15,7,2
15_7_3,15,7,3
15_7_4,15,7,4
15_7_5,15,7,5
15_7_6,15,7,6
15_7_7,15,7,7
15_7_8,15,7,8
15_7_9,15,7,9
16_1_0,16,1,0
16_1_1,16,1,1
16_1_10,16,1,10
16_1_11,16,1,11
16_1_12,16,1,12
16_1_13,16,1,13
16_1_14,16,1,14
16_1_15,16,1,15
16_1_16,16,1,16
16_1_17,16,1,17
16_1_18,16,1,18
16_1_19,16,1,19
16_1_2,16,1,2
16_1_3,16,1,3
16_1_4,16,1,4
16_1_5,16,1,5
16_1_6,16,1,6
16_1_7,16,1,7
16_1_8,16,1,8
16_1_9,16,1,9
16_2_0,16,2,0
16_2_1,16,2,1
16_2_10,16,2,10
16_2_11,16,2,11
16_2_12,16,2,12
16_2_13,16,2,13
16_2_14,16,2,14
16_2_15,16,2,15
16_2_16,16,2,16
16_2_17,16,2,17
16_2_18,16,2,18
16_2_19,16,2,19
16_2_2,16,2,2
16_2_3,16,2,3
16_2_4,16,2,4
16_2_5,16,2,5
16_2_6,16,2,6
16_2_7,16,2,7
16_2_8,16,2,8
16_2_9,16,2,9
16_3_0,16,3,0
16_3_1,16,3,1
16_3_10,16,3,10
16_3_11,16,3,11
16_3_12,16,3,12
16_3_13,16,3,13
16_3_14,16,3,14
16_3_15,16,3,15
16_3_16,16,3,16
16_3_17,16,3,17
16_3_18,16,3,18
16_3_19,16,3,19
16_3_2,16,3,2
16_3_3,16,3,3
16_3_4,16,3,4
16_3_5,16,3,5
16_3_6,16,3,6
16_3_7,16,3,7
16_3_8,16,3,8
16_3_9,16,3,9
16_4_0,16,4,0
16_4_1,16,4,1
16_4_10,16,4,10
16_4_11,16,4,11
16_4_12,16,4,12
16_4_13,16,4,13
16_4_14,16,4,14
16_4_15,16,4,15
16_4_16,16,4,16
16_4_17,16,4,17
16_4_18,16,4,18
16_4_19,16,4,19
16_4_2,16,4,2
16_4_3,16,4,3
16_4_4,16,4,4
16_4_5,16,4,5
16_4_6,16,4,6
16_4_7,16,4,7
16_4_8,16,4,8
16_4_9,16,4,9
16_5_0,16,5,0
16_5_1,16,5,1
16_5_10,16,5,10
16_5_11,16,5,11
16_5_12,16,5,12
16_5_13,16,5,13
16_5_14,16,5,14
16_5_15,16,5,15
16_5_16,16,5,16
16_5_17,16,5,17
16_5_18,16,5,18
16_5_19,16,5,19
16_5_2,16,5,2
16_5_3,16,5,3
16_5_4,16,5,4
16_5_5,16,5,5
16_5_6,16,5,6
16_5_7,16,5,7
16_5_8,16,5,8
16_5_9,16,5,9
16_6_0,16,6,0
16_6_1,16,6,1
16_6_10,16,6,10
16_6_11,16,6,11
16_6_12,16,6,12
16_6_13,16,6,13
16_6_14,16,6,14
16_6_15,16,6,15
16_6_16,16,6,16
16_6_17,16,6,17
16_6_18,16,6,18
16_6_19,16,6,19
16_6_2,16,6,2
16_6_3,16,6,3
16_6_4,16,6,4
16_6_5,16,6,5
16_6_6,16,6,6
16_6_7,16,6,7
16_6_8,16,6,8
16_6_9,16,6,9
16_7_0,16,7,0
16_7_1,16,7,1
16_7_10,16,7,10
16_7_11,16,7,11
16_7_12,16,7,12
16_7_13,16,7,13
16_7_14,16,7,14
16_7_15,16,7,15
16_7_16,16,7,16
16_7_17,16,7,17
16_7_18,16,7,18
16_7_19,16,7,19
16_7_2,16,7,2
16_7_3,16,7,3
16_7_4,16,7,4
16_7_5,16,7,5
16_7_6,16,7,6
16_7_7,16,7,7
16_7_8,16,7,8
16_7_9,16,7,9
17_1_0,17,1,0
17_1_1,17,1,1
17_1_10,17,1,10
17_1_11,17,1,11
17_1_12,17,1,12
17_1_13,17,1,13
17_1_14,17,1,14
17_1_15,17,1,15
17_1_16,17,1,16
17_1_17,17,1,17
17_1_18,17,1,18
17_1_19,17,1,19
17_1_2,17,1,2
17_1_3,17,1,3
17_1_4,17,1,4
17_1_5,17,1,5
17_1_6,17,1,6
17_1_7,17,1,7
17_1_8,17,1,8
17_1_9,17,1,9
17_2_0,17,2,0
17_2_1,17,2,1
17_2_10,17,2,10
17_2_11,17,2,11
17_2_12,17,2,12
17_2_13,17,2,13
17_2_14,17,2,14
17_2_15,17,2,15
17_2_16,17,2,16
17_2_17,17,2,17
17_2_18,17,2,18
17_2_19,17,2,19
17_2_2,17,2,2
17_2_3,17,2,3
17_2_4,17,2,4
17_2_5,17,2,5
17_2_6,17,2,6
17_2_7,17,2,7
17_2_8,17,2,8
17_2_9,17,2,9
17_3_0,17,3,0
17_3_1,17,3,1
17_3_10,17,3,10
17_3_11,17,3,11
17_3_12,17,3,12
17_3_13,17,3,13
17_3_14,17,3,14
17_3_15,17,3,15
17_3_16,17,3,16
17_3_17,17,3,17
17_3_18,17,3,18
17_3_19,17,3,19
17_3_2,17,3,2
17_3_3,17,3,3
17_3_4,17,3,4
17_3_5,17,3,5
17_3_6,17,3,6
17_3_7,17,3,7
17_3_8,17,3,8
17_3_9,17,3,9
17_4_0,17,4,0
17_4_1,17,4,1
17_4_10,17,4,10
17_4_11,17,4,11
17_4_12,17,4,12
17_4_13,17,4,13
17_4_14,17,4,14
17_4_15,17,4,15
17_4_16,17,4,16
17_4_17,17,4,17
17_4_18,17,4,18
17_4_19,17,4,19
17_4_2,17,4,2
17_4_3,17,4,3
17_4_4,17,4,4
17_4_5,17,4,5
17_4_6,17,4,6
17_4_7,17,4,7
17_4_8,17,4,8
17_4_9,17,4,9
17_5_0,17,5,0
17_5_1,17,5,1
17_5_10,17,5,10
17_5_11,17,5,11
17_5_12,17,5,12
17_5_13,17,5,13
17_5_14,17,5,14
17_5_15,17,5,15
17_5_16,17,5,16
17_5_17,17,5,17
17_5_18,17,5,18
17_5_19,17,5,19
17_5_2,17,5,2
17_5_3,17,5,3
17_5_4,17,5,4
17_5_5,17,5,5
17_5_6,17,5,6
17_5_7,17,5,7
17_5_8,17,5,8
17_5_9,17,5,9
17_6_0,17,6,0
17_6_1,17,6,1
17_6_10,17,6,10
17_6_11,17,6,11
17_6_12,17,6,12
17_6_13,17,6,13
17_6_14,17,6,14
17_6_15,17,6,15
17_6_16,17,6,16
17_6_17,17,6,17
17_6_18,17,6,18
17_6_19,17,6,19
17_6_2,17,6,2
17_6_3,17,6,3
17_6_4,17,6,4
17_6_5,17,6,5
17_6_6,17,6,6
17_6_7,17,6,7
17_6_8,17,6,8
17_6_9,17,6,9
17_7_0,17,7,0
17_7_1,17,7,1
17_7_10,17,7,10
17_7_11,17,7,11
17_7_12,17,7,12
17_7_13,17,7,13
17_7_14,17,7,14
17_7_15,17,7,15
17_7_16,17,7,16
17_7_17,17,7,17
17_7_18,17,7,18
17_7_19,17,7,19
17_7_2,17,7,2
17_7_3,17,7,3
17_7_4,17,7,4
17_7_5,17,7,5
17_7_6,17,7,6
17_7_7,17,7,7
17_7_8,17,7,8
17_7_9,17,7,9
18_1_0,18,1,0
18_1_1,18,1,1
18_1_10,18,1,10
18_1_11,18,1,11
18_1_12,18,1,12
18_1_13,18,1,13
18_1_14,18,1,14
18_1_15,18,1,15
18_1_16,18,1,16
18_1_17,18,1,17
18_1_18,18,1,18
18_1_19,18,1,19
18_1_2,18,1,2
18_1_3,18,1,3
18_1_4,18,1,4
18_1_5,18,1,5
18_1_6,18,1,6
18_1_7,18,1,7
18_1_8,18,1,8
18_1_9,18,1,9
18_2_0,18,2,0
18_2_1,18,2,1
18_2_10,18,2,10
18_2_11,18,2,11
18_2_12,18,2,12
18_2_13,18,2,13
18_2_14,18,2,14
18_2_15,18,2,15
18_2_16,18,2,16
18_2_17,18,2,17
18_2_18,18,2,18
18_2_19,18,2,19
18_2_2,18,2,2
18_2_3,18,2,3
18_2_4,18,2,4
18_2_5,18,2,5
18_2_6,18,2,6
18_2_7,18,2,7
18_2_8,18,2,8
18_2_9,18,2,9
18_3_0,18,3,0
18_3_1,18,3,1
18_3_10,18,3,10
18_3_11,18,3,11
