24 56.3296667236 1.0000000000 1.0000000000 1.9072741882 1.0000000000 6.3138419778 0.9982796806 3.7269702476 0.1416697153 3.1606112871 0.1201412599 13.8903072266 -1298.5433933970 26.8156229405 6.8314304441 2.711201 -0.945738 1.534940 2.986819 -2.578812 4.370642 2.174302 2.630392 -5.000000 -1.243363 -1.612208 -1.029640 1.829359 0.573431 4.285518 0.024004 1.655678 0.059828 0.441585 4.085130 0.738221 -4.193614 -1.850295 -1.575070 -0.607548 0.322993 -0.774707 -0.591487 -0.640042 -1.060926 -0.914646 -1.722021 -1.983502 4.047961 0.991461 -0.360633 0.098336 1.225603 -1.361793 0.588941
51 55.9022780982 1.0000000000 1.0000000000 1.8234431468 3.0000000000 6.2907408530 0.9945731640 5.5701278423 -0.0577732383 4.8798732156 -0.0452821828 31.0263241792 -1276.9355978771 27.1388757141 6.9119516129 -1.449598 1.930719 2.475365 4.530992 -0.329618 2.743080 3.234211 1.178276 -1.337927 -0.352515 -1.893439 -2.229534 1.647906 1.891094 2.525502 -3.307544 -0.859402 0.287211 -1.261292 5.000000 0.455498 -5.000000 1.878670 0.344852 -1.343544 -1.384696 -0.772052 2.529487 -0.374404 -1.728697 -0.060201 -4.814063 0.128383 3.641571 -4.277221 -0.784134 -0.030027 1.472682 -0.216274 3.910408
57 53.4987250579 1.0000000000 1.0000000000 1.8234431468 3.0000000000 6.2907408530 0.9945731640 5.5701278423 -0.0577732383 4.8798732156 -0.0452821828 31.0263241792 -1276.9355978771 27.1388757141 6.9119516129 2.118233 0.626777 2.817182 -1.008381 -0.868993 -0.380993 -1.388961 3.179726 -4.341428 -1.975728 1.467023 -3.007091 -0.532439 1.964491 5.000000 -0.270537 -0.876640 1.179414 1.209112 3.641354 0.263831 -3.215980 2.387116 -2.008624 -2.713352 -2.189879 -1.313176 5.000000 -3.270664 -4.290339 -0.101586 -3.453102 -4.256628 -0.307392 0.669774 -1.121310 2.062177 1.731451 -3.406094 1.023067
102 51.7690288629 1.0000000000 1.0000000000 1.7908222463 6.0000000000 6.2590090127 0.9894272765 6.0008914596 -0.0053034207 5.4722120132 -0.0063860333 36.0106983100 -1197.1303207067 24.7065450437 6.3185716752 2.158068 1.298119 2.873991 2.347140 -0.400902 -0.148678 -1.268954 5.000000 0.437251 -2.546916 4.095639 -2.753016 0.029775 -1.397430 2.449867 -2.283154 -0.243464 -0.604601 2.964885 2.432847 -0.368261 -4.095976 3.334163 -2.482511 -4.647629 -1.498990 -1.653911 3.688085 -4.334474 -5.000000 -0.846793 -3.195075 -5.000000 0.499358 -0.961816 -1.526972 -1.509485 3.145736 -2.602122 2.381973
232 50.4751594065 1.0000000000 1.0000000000 1.4445584586 15.0000000000 6.1518283143 0.9721847317 5.0341838459 0.1017084720 4.4805078527 0.0687448578 25.3430069940 -1106.8518603648 26.8270552946 6.8059059131 -0.624428 -0.825765 5.000000 3.340590 2.900046 1.656228 -2.374023 0.516322 -0.868445 0.353772 0.252729 1.108783 5.000000 1.274741 2.450735 -2.122645 2.179683 -2.515834 -3.942223 3.065994 4.762995 -3.114981 0.611453 -5.000000 -3.289911 -3.334651 0.457343 -1.123104 -5.000000 -4.483103 -1.702690 -0.193480 -0.528059 2.106099 2.106373 -0.792751 -1.480266 0.321348 -4.265467 -0.335400
278 44.6921066585 1.0000000000 1.0000000000 1.3676101320 18.0000000000 6.1182852969 0.9668096330 5.0454189459 0.0919949320 4.6154994059 0.0739180686 25.4562523398 -1050.2725611064 26.1939927421 6.6529139045 0.529785 -0.924239 1.561810 0.152292 0.461882 3.248494 -0.992482 1.839324 3.263212 0.762568 -0.250482 -0.876064 5.000000 0.936592 2.024009 -3.175064 -0.591508 -3.517336 -2.216090 3.545097 4.279188 0.366890 1.874895 -4.101750 -2.000648 -1.648732 0.569877 -1.055309 -5.000000 -1.718490 -0.382699 -1.396513 -1.015973 3.787173 -0.274525 -0.924562 -0.085410 1.300581 -4.214876 -2.016978
285 38.7033623564 1.0000000000 1.0000000000 1.3676101320 18.0000000000 6.1182852969 0.9668096330 5.0454189459 0.0919949320 4.6154994059 0.0739180686 25.4562523398 -1050.2725611064 26.1939927421 6.6529139045 -0.106929 -3.299431 5.000000 0.963227 0.677161 2.666068 2.187763 3.373250 -2.530324 -1.863276 0.925599 -2.414809 2.862871 4.763308 1.504509 1.250323 -0.613303 -1.673830 -1.108935 5.000000 3.870566 -0.389488 0.804114 -4.637275 -4.692297 -0.995642 0.794973 1.314748 -4.715751 -2.260245 -0.565775 -0.356910 -0.910161 5.000000 2.629037 -0.686450 0.424292 1.682517 -3.871484 -0.954597
1005 66.2678448525 1.0000000000 1.0000000000 0.8470608113 67.0000000000 5.6350020756 0.8883069935 4.9988299787 0.0007731567 4.4453846959 -0.0076814520 24.9883011559 -665.3555539258 25.3532327702 6.5050909520 0.761666 -0.235734 1.031985 -4.707685 0.487097 -0.206356 -3.126580 3.756016 0.282368 1.569861 -0.386994 -0.944600 4.340691 3.638753 -3.363794 -2.591180 -0.584680 -2.338111 1.639500 2.361906 -0.374249 0.125303 1.991797 -3.353843 -1.337891 -0.355180 -2.540736 -1.515880 -2.363676 -3.903528 -2.345227 -0.282570 0.054233 -0.672245 -4.956480 -3.079152 -0.260923 1.457591 -4.982495 0.265300
evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 67.2455671487 2.0000000000 1.0000000000 0.8470608113 67.0000000000 5.6350020756 0.8883069935 4.9988299787 0.0007731567 4.4453846959 -0.0076814520 24.9883011559 -665.3555539258 25.3532327702 6.5050909520 -0.833516 -0.112534 -4.272392 3.280542 -3.586871 -1.683495 1.005763 -2.490576 -2.115904 -1.818015 1.102908 4.584416 0.083079 -2.235851 1.078117 -1.192319 -0.038261 2.350002 -1.495742 0.018051 -1.756216 -0.312868 0.513141 -1.977558 -0.677644 -0.472368 -1.275310 -2.375225 -2.842434 -0.306990 -0.538114 4.462734 -4.869535 0.225453 0.740889 2.719268 1.003714 -1.688427 0.000020 1.084705
5 60.8684623313 2.0000000000 1.0000000000 0.8470608113 67.0000000000 5.6350020756 0.8883069935 4.9988299787 0.0007731567 4.4453846959 -0.0076814520 24.9883011559 -665.3555539258 25.3532327702 6.5050909520 -2.510854 1.876327 -0.936693 -2.509441 0.249647 1.513004 0.482879 0.994851 5.000000 1.642242 3.063521 -3.971692 0.730107 1.548164 -0.728958 -1.751959 0.793040 -0.629235 -1.187511 2.299001 2.671132 0.605259 -0.908456 1.028741 1.658917 1.261244 -2.906729 -0.676036 0.718267 1.244441 1.921564 1.516741 -2.268637 -1.414842 -2.442858 3.608953 0.360820 1.106329 2.066058 -0.658005
9 55.3725283691 2.0000000000 1.0000000000 0.8470608113 67.0000000000 5.6350020756 0.8883069935 4.9988299787 0.0007731567 4.4453846959 -0.0076814520 24.9883011559 -665.3555539258 25.3532327702 6.5050909520 -0.743038 5.000000 0.219902 -3.827046 1.199641 1.098769 2.767562 0.296698 -1.307083 2.817668 1.424122 -3.601432 1.495198 -0.465794 2.221291 -0.746678 1.572292 0.388337 1.172408 -0.040775 -0.828817 0.134627 1.263598 0.835185 3.230353 0.851212 1.270728 4.204459 0.132253 1.071117 -1.206282 0.083915 3.283829 0.623395 2.902340 -2.129856 -2.801691 0.615051 -2.739277 5.000000
19 53.9414105714 2.0000000000 1.0000000000 1.8885656261 1.0000000000 6.3136043757 0.9982444337 3.1957558344 0.0651759428 2.7101214364 0.0552716568 10.2128553528 -1314.3270178925 27.6289833043 7.0493224633 -0.807720 2.535315 -0.001944 -2.937143 -2.953905 -2.040222 -0.066806 -2.011598 -1.649193 -0.795568 2.654644 -1.568018 0.787864 -1.051529 -1.465184 -0.475502 0.186065 -0.068610 1.571162 -1.220188 -3.142983 -1.944869 1.838095 -1.680563 3.907263 -1.047326 -1.416165 2.845654 -0.729091 -1.638598 -1.943481 0.884036 -0.105930 -2.239990 3.101785 -1.712808 -0.964702 -2.996608 0.551065 1.516406
24 48.4019051880 2.0000000000 1.0000000000 1.8885656261 1.0000000000 6.3136043757 0.9982444337 3.1957558344 0.0651759428 2.7101214364 0.0552716568 10.2128553528 -1314.3270178925 27.6289833043 7.0493224633 -0.517423 1.235122 0.724692 -3.152342 2.710647 1.891378 -0.789874 0.404256 2.107921 1.576267 1.447477 -0.662312 -0.819431 0.469137 2.203305 1.208836 -1.813793 3.011976 -0.616912 -0.249909 -3.878099 -0.979112 1.966584 3.663585 5.000000 -2.583198 0.116397 0.542420 4.575136 -1.143022 -3.587736 0.094828 -0.384230 2.189927 1.512671 1.842100 -1.298721 -3.838890 1.117838 0.396440
78 46.9583333753 2.0000000000 1.0000000000 1.6683004788 5.0000000000 6.2702033084 0.9912680517 5.1778146081 -0.0783389300 4.6665524846 -0.0733233849 26.8097641154 -1199.6565322362 26.3941286312 6.7384772820 -4.389558 1.373830 -4.642173 -0.948978 0.473728 1.995340 -3.526225 -5.000000 2.971554 4.500511 2.737245 -1.058871 1.570242 0.157236 1.501277 -2.324429 -4.534679 0.479817 2.151825 0.711002 -2.789574 2.066610 2.720463 0.280202 2.556365 -2.520218 -0.944351 1.313785 3.230742 1.832522 -0.937142 2.922763 -1.900637 -1.816731 1.617421 -1.542303 -1.319151 -2.383556 2.139390 -1.678217
122 39.6910545218 2.0000000000 1.0000000000 1.6173281714 8.0000000000 6.2374468775 0.9859613233 5.9785852840 -0.0437013330 5.5997273323 -0.0458374774 35.7434819979 -1097.7857562597 23.2429765935 5.9225572266 -5.000000 1.675887 1.578052 -3.834019 -0.719108 -2.294520 -1.361975 -2.989195 1.491713 1.030592 5.000000 -0.714574 3.258036 -5.000000 0.290426 1.293437 -2.493740 1.115588 2.373502 -5.000000 -5.000000 2.025052 4.691882 -4.303849 1.595065 -2.139832 -2.473163 1.959193 2.023594 4.584798 -5.000000 3.366987 -2.784369 -2.563414 -1.022300 1.433998 -0.786837 -2.374736 1.504034 1.481192
869 33.6113809024 2.0000000000 1.0000000000 0.8380087688 57.0000000000 5.7284793525 0.9034559563 5.4217217132 -0.1396631490 4.9049102903 -0.1186705434 29.3950663354 -684.0191510941 25.7659240761 6.5259757959 0.922620 2.784154 -4.699385 1.768080 1.787068 3.355353 -0.971627 -3.244480 -1.976997 -1.192088 3.456879 -0.235191 3.847830 -2.935294 5.000000 -2.496937 -3.171944 -4.895543 3.947311 -0.259858 -1.291750 4.005025 2.535127 -2.048931 2.691648 -1.617508 -2.187639 -1.157298 2.823864 1.583790 -3.173417 0.498324 -2.160519 2.670121 2.530154 -2.240791 1.892776 -0.389980 0.917915 2.050341
1005 91.8000181256 2.0000000000 1.0000000000 0.7461114424 67.0000000000 5.6287313088 0.8872195403 5.5021416565 -0.0434205789 4.8725397996 -0.0430088243 30.2735628084 -592.0908148960 25.6307382520 6.5419219406 -1.884528 3.193762 -1.780950 2.151266 0.392405 4.724286 -0.725281 -3.320804 -2.053016 -2.120617 4.367062 -2.495226 3.949592 -1.976488 3.164788 -1.602586 -3.624193 -4.967147 3.030068 0.394143 -1.759587 4.336634 3.158419 -2.551109 3.884540 0.723888 -2.036755 0.551977 2.188146 2.510057 -3.411941 -0.261729 -2.584856 4.828221 1.947892 -2.326644 4.033273 -2.370869 0.290961 2.804117
evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 79.6498530437 3.0000000000 1.0000000000 0.7461114424 67.0000000000 5.6287313088 0.8872195403 5.5021416565 -0.0434205789 4.8725397996 -0.0430088243 30.2735628084 -592.0908148960 25.6307382520 6.5419219406 3.577257 0.873020 0.192995 -3.726985 -0.554776 -0.709518 -0.165483 -1.254001 -0.087636 -0.954436 -2.627730 1.769245 1.762636 3.419146 0.100067 -0.809355 -1.090720 -3.092955 1.964735 -2.202135 -2.370093 -0.411300 2.972297 0.473433 -2.047570 -1.425986 1.250490 -0.321027 -1.537673 -0.460061 1.490113 3.952222 -2.488247 -1.252834 -1.607532 -4.838166 -1.847584 -2.047752 2.247956 -0.263828
3 65.4251098037 3.0000000000 1.0000000000 0.7461114424 67.0000000000 5.6287313088 0.8872195403 5.5021416565 -0.0434205789 4.8725397996 -0.0430088243 30.2735628084 -592.0908148960 25.6307382520 6.5419219406 -2.741338 0.477126 1.228154 -1.675825 0.290126 2.335765 -0.048209 -1.777315 -5.000000 -1.943681 -1.182157 -1.032835 -1.919992 0.754590 -1.149417 -0.218909 1.358143 -1.710874 -0.600412 4.316299 1.748571 -2.587073 -0.159482 1.128971 2.466942 0.297973 -1.061164 -1.461053 1.290124 0.626121 -1.033296 -0.378143 -0.832396 1.449315 -1.379921 0.972829 1.703038 0.972499 -1.668480 2.689985
22 57.7968477307 3.0000000000 1.0000000000 1.8643781693 1.0000000000 6.3091472294 0.9975394782 2.5011187582 -0.0556044072 2.1210430061 -0.0471546338 6.2555950428 -1287.7073800259 27.0404484958 6.9027607090 0.233343 -0.170959 0.486755 -4.325776 -4.029272 -2.245054 -0.572891 3.956636 -0.509471 -0.109574 -0.433576 1.600040 3.029960 -1.826396 0.129239 -1.850223 -2.464531 -3.710472 -3.149602 -2.344151 -1.013379 -3.364775 -0.638572 -2.579710 -1.175475 -1.511398 -0.361255 0.343284 1.985388 -0.579941 2.646417 -0.546358 -0.972554 2.255968 -0.921660 -0.867781 1.642634 -1.311321 -0.365880 0.528102
28 51.8193873025 3.0000000000 1.0000000000 1.8643781693 1.0000000000 6.3091472294 0.9975394782 2.5011187582 -0.0556044072 2.1210430061 -0.0471546338 6.2555950428 -1287.7073800259 27.0404484958 6.9027607090 -1.216196 2.401459 -2.048754 -0.102385 -0.159326 -0.507664 -0.464812 0.283833 -2.058787 -1.543918 -1.422808 0.401474 -2.592041 -1.089263 -2.021966 0.550960 -0.323136 -0.178628 1.793754 -0.180063 -1.753947 2.557334 -1.897886 0.001868 -3.466898 1.480294 0.514350 2.136790 -1.171234 3.706749 -0.690849 -1.133393 -1.009531 5.000000 0.348480 1.463495 1.960883 2.180024 -3.705936 1.881216
90 49.4314806351 3.0000000000 1.0000000000 1.5886721860 5.0000000000 6.2590550359 0.9895247594 4.3428808001 0.0139191937 3.9166676906 0.0000496287 18.8606136440 -1121.7735191928 24.5821691537 6.2880204755 -1.617002 2.182405 2.111734 0.891589 0.509046 -1.345316 -2.133027 1.147451 -0.603479 -3.025585 1.295877 3.399299 -0.876011 -0.059597 -0.313686 0.889798 -5.000000 1.546768 -3.130558 -3.011232 1.231659 -0.238843 -0.952639 1.548657 -4.568096 1.065104 -5.000000 1.326903 -0.528092 2.249941 1.125382 -2.443122 -2.950667 4.092536 0.586398 -0.864105 3.582547 3.901625 -4.470936 2.470085
163 47.0986396335 3.0000000000 1.0000000000 1.4351598913 10.0000000000 6.2029190190 0.9804823700 5.2679384197 0.0776969307 4.9110052296 0.0649609616 27.7511751942 -1075.7332315919 25.4970966805 6.5234442161 -3.502948 -2.932982 0.296167 -1.662010 -0.623555 -4.860759 -1.293042 1.872940 3.340062 -4.262819 1.080784 3.058635 0.695500 2.183791 1.197222 0.840770 -1.444763 2.104213 -1.036566 -0.053148 -0.093251 -2.187621 0.243981 1.791150 -1.889490 -0.020951 0.792974 4.085131 -0.776872 3.761207 1.775635 1.587909 -0.646665 1.984237 3.054113 -0.317094 1.848438 1.157306 -3.195105 -0.456239
192 43.2361062353 3.0000000000 1.0000000000 1.3783048652 12.0000000000 6.1806510471 0.9769076209 5.0951170847 0.2064461732 4.7478602968 0.1781979926 25.9602181067 -1055.6531841099 25.7962766665 6.5803784478 -1.769881 -3.895027 1.007299 -0.989237 -2.342848 -4.617692 -2.699143 0.078799 0.287447 -3.808866 0.183234 1.928102 -3.737501 3.448748 2.440806 4.198830 -5.000000 3.564980 -0.462973 -2.022228 -2.410190 -1.806316 1.126300 1.897587 -1.455865 -1.630601 1.217571 2.180779 -2.719207 1.851040 -0.211922 1.443033 0.148768 2.042657 3.275843 1.113212 3.491872 3.660594 -0.608990 3.082902
320 42.2947691185 3.0000000000 1.0000000000 1.1816633306 21.0000000000 6.0807047556 0.9607810547 5.7648225784 0.2367652729 4.9993654077 0.2134810439 33.2331793609 -953.7374268022 26.0161863650 6.6307197044 -3.225041 -1.145006 0.862741 -3.751802 -0.846521 -2.608562 0.672883 -1.934194 1.501246 0.015278 2.021196 3.852214 1.874515 -0.414217 2.250001 -1.169998 -0.837878 1.078170 -2.082713 -2.419717 -1.654337 -0.582732 0.728424 2.778974 -2.462395 -0.003616 -1.143242 2.263269 -1.673133 4.809038 0.751517 -0.872764 3.136016 -0.839933 3.312476 -2.765118 1.953746 4.854556 1.002936 0.547006
1005 88.2362999438 3.0000000000 1.0000000000 0.9590295010 67.0000000000 5.6561103804 0.8909192219 5.3615995821 -0.2166348177 4.8752459284 -0.1775619867 28.7467500792 -759.0485608633 26.0244741303 6.5949680926 -0.135114 -3.500842 -1.011374 0.604601 1.716683 -5.000000 1.047875 -3.250525 -0.570156 3.639938 -1.930062 3.754216 0.390181 -1.565424 4.595547 -1.469416 1.999137 2.671201 3.597138 -2.232555 -0.506668 -4.210036 1.030998 -2.061707 -1.029707 0.304798 1.243722 -1.547360 -5.000000 3.569559 4.548071 -3.210319 3.383750 -1.270365 -3.440801 3.613333 0.742127 2.827283 0.584617 3.697647
